pilot_stage,library_slot,anchor_id,template_role,protocol_slot,library_batch,technical_repeat_of,decision_role
STAGE_A,A001,RAD_A01,TEMPLATE_1,RAD_C01_AVAII_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A002,RAD_A01,TEMPLATE_1,RAD_C02_ECORI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A003,RAD_A01,TEMPLATE_1,RAD_C03_PSTI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A004,RAD_A02,TEMPLATE_1,RAD_C01_AVAII_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A005,RAD_A02,TEMPLATE_1,RAD_C02_ECORI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A006,RAD_A02,TEMPLATE_1,RAD_C03_PSTI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A007,RAD_A03,TEMPLATE_1,RAD_C01_AVAII_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A008,RAD_A03,TEMPLATE_1,RAD_C02_ECORI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A009,RAD_A03,TEMPLATE_1,RAD_C03_PSTI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A010,RAD_A04,TEMPLATE_1,RAD_C01_AVAII_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A011,RAD_A04,TEMPLATE_1,RAD_C02_ECORI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A012,RAD_A04,TEMPLATE_1,RAD_C03_PSTI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A013,RAD_A05,TEMPLATE_1,RAD_C01_AVAII_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A014,RAD_A05,TEMPLATE_1,RAD_C02_ECORI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A015,RAD_A05,TEMPLATE_1,RAD_C03_PSTI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A016,RAD_A06,TEMPLATE_1,RAD_C01_AVAII_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A017,RAD_A06,TEMPLATE_1,RAD_C02_ECORI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A018,RAD_A06,TEMPLATE_1,RAD_C03_PSTI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A019,RAD_A07,TEMPLATE_1,RAD_C01_AVAII_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A020,RAD_A07,TEMPLATE_1,RAD_C02_ECORI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A021,RAD_A07,TEMPLATE_1,RAD_C03_PSTI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A022,RAD_A08,TEMPLATE_1,RAD_C01_AVAII_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A023,RAD_A08,TEMPLATE_1,RAD_C02_ECORI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_A,A024,RAD_A08,TEMPLATE_1,RAD_C03_PSTI_MSPI,A_BATCH_1,,SHALLOW_PROTOCOL_SCREEN
STAGE_B,B001,RAD_A01,TEMPLATE_1,TOP1,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B002,RAD_A01,TEMPLATE_2,TOP1,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B003,RAD_A02,TEMPLATE_1,TOP1,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B004,RAD_A02,TEMPLATE_2,TOP1,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B005,RAD_A03,TEMPLATE_1,TOP1,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B006,RAD_A03,TEMPLATE_2,TOP1,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B007,RAD_A04,TEMPLATE_1,TOP1,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B008,RAD_A04,TEMPLATE_2,TOP1,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B009,RAD_A05,TEMPLATE_1,TOP1,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B010,RAD_A05,TEMPLATE_2,TOP1,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B011,RAD_A06,TEMPLATE_1,TOP1,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B012,RAD_A06,TEMPLATE_2,TOP1,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B013,RAD_A07,TEMPLATE_1,TOP1,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B014,RAD_A07,TEMPLATE_2,TOP1,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B015,RAD_A08,TEMPLATE_1,TOP1,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B016,RAD_A08,TEMPLATE_2,TOP1,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B017,RAD_A01,TEMPLATE_1,TOP2,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B018,RAD_A01,TEMPLATE_2,TOP2,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B019,RAD_A02,TEMPLATE_1,TOP2,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B020,RAD_A02,TEMPLATE_2,TOP2,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B021,RAD_A03,TEMPLATE_1,TOP2,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B022,RAD_A03,TEMPLATE_2,TOP2,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B023,RAD_A04,TEMPLATE_1,TOP2,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B024,RAD_A04,TEMPLATE_2,TOP2,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B025,RAD_A05,TEMPLATE_1,TOP2,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B026,RAD_A05,TEMPLATE_2,TOP2,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B027,RAD_A06,TEMPLATE_1,TOP2,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B028,RAD_A06,TEMPLATE_2,TOP2,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B029,RAD_A07,TEMPLATE_1,TOP2,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B,B030,RAD_A07,TEMPLATE_2,TOP2,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B031,RAD_A08,TEMPLATE_1,TOP2,B_BATCH_2,,REPRODUCIBILITY_PRIMARY
STAGE_B,B032,RAD_A08,TEMPLATE_2,TOP2,B_BATCH_1,,REPRODUCIBILITY_PRIMARY
STAGE_B_REPEAT,BR01,RAD_A01,TEMPLATE_1,TOP1,B_BATCH_1,B001,TECHNICAL_REPEAT
STAGE_B_REPEAT,BR02,RAD_A02,TEMPLATE_1,TOP1,B_BATCH_2,B003,TECHNICAL_REPEAT
STAGE_B_REPEAT,BR03,RAD_A03,TEMPLATE_1,TOP1,B_BATCH_1,B005,TECHNICAL_REPEAT
STAGE_B_REPEAT,BR04,RAD_A04,TEMPLATE_1,TOP1,B_BATCH_2,B007,TECHNICAL_REPEAT
STAGE_B_REPEAT,BR05,RAD_A05,TEMPLATE_1,TOP2,B_BATCH_2,B025,TECHNICAL_REPEAT
STAGE_B_REPEAT,BR06,RAD_A06,TEMPLATE_1,TOP2,B_BATCH_1,B027,TECHNICAL_REPEAT
STAGE_B_REPEAT,BR07,RAD_A07,TEMPLATE_1,TOP2,B_BATCH_2,B029,TECHNICAL_REPEAT
STAGE_B_REPEAT,BR08,RAD_A08,TEMPLATE_1,TOP2,B_BATCH_1,B031,TECHNICAL_REPEAT
